id,corridor_id,department,task_type,duration_slots,severity,criticality,due_slot,mandatory,requires_power_block,earliest_slot,latest_end_slot
T059,C9,TRD,SUBSTATION_TEST,12,6,6,1536,false,true,768,1344
T060,C10,TRD,OHE_POWER_WORK,6,7,8,1632,false,true,864,1536
T061,C1,ENGINEERING,HEAVY_EARTHWORK,2,7,7,2112,false,false,1344,1824
T062,C2,ENGINEERING,HEAVY_EARTHWORK,8,7,5,2016,false,false,1440,2016
T063,C3,ENGINEERING,HEAVY_EARTHWORK,8,6,5,2304,false,false,1536,2208
T064,C4,ENGINEERING,HEAVY_EARTHWORK,6,6,4,2400,false,false,1632,2208
T065,C5,ENGINEERING,HEAVY_EARTHWORK,4,5,5,2304,false,false,1728,2400
T066,C6,ENGINEERING,HEAVY_EARTHWORK,6,5,6,2592,false,false,1824,2304
T067,C7,ENGINEERING,HEAVY_EARTHWORK,2,7,4,1920,false,false,1344,1920
T068,C8,ENGINEERING,HEAVY_EARTHWORK,8,4,5,2208,false,false,1440,1920
T069,C9,ENGINEERING,HEAVY_EARTHWORK,6,4,7,2304,false,false,1536,2208
T070,C10,ENGINEERING,HEAVY_EARTHWORK,6,5,7,1824,false,false,1632,2304
T071,C1,ST,POINT_MACHINE_SERVICE,6,5,4,2688,false,false,2112,2688
T072,C2,ST,POINT_MACHINE_SERVICE,8,6,8,2592,false,false,2208,2688
T073,C3,ST,POINT_MACHINE_SERVICE,6,7,4,2688,false,false,2304,2688
T074,C4,ST,POINT_MACHINE_SERVICE,8,4,4,2688,false,false,2400,2688
T075,C5,ST,POINT_MACHINE_SERVICE,12,4,7,2688,false,false,2496,2688
T076,C6,ST,POINT_MACHINE_SERVICE,4,5,8,2688,false,false,2016,2688
T077,C7,ST,POINT_MACHINE_SERVICE,4,5,6,2688,false,false,2112,2688
T078,C8,ST,POINT_MACHINE_SERVICE,2,5,5,2592,false,false,2208,2688
T079,C9,ST,POINT_MACHINE_SERVICE,6,5,7,2688,false,false,2304,2688
T080,C10,ST,POINT_MACHINE_SERVICE,2,5,6,2688,false,false,2400,2688
T081,C1,TRD,SUBSTATION_TEST,6,4,4,768,false,true,192,672
T082,C2,TRD,OHE_POWER_WORK,8,5,7,480,false,true,288,960
T083,C3,TRD,SUBSTATION_TEST,12,5,8,960,false,true,384,1056
T084,C4,TRD,OHE_POWER_WORK,4,5,7,672,false,true,480,1056
T085,C5,TRD,SUBSTATION_TEST,4,7,8,768,false,true,0,480
T086,C6,TRD,OHE_POWER_WORK,2,4,6,288,false,true,96,576
T087,C7,TRD,SUBSTATION_TEST,8,6,4,576,false,true,192,768
T088,C8,TRD,OHE_POWER_WORK,8,4,6,672,false,true,288,864
T089,C9,TRD,SUBSTATION_TEST,12,7,6,960,false,true,384,960
T090,C10,TRD,OHE_POWER_WORK,6,7,6,864,false,true,480,960
T091,C1,ENGINEERING,TRACK_REPAIR,12,5,4,1728,false,false,960,1440
T092,C2,ENGINEERING,TRACK_REPAIR,2,5,7,1632,false,false,1056,1728
T093,C3,ENGINEERING,TRACK_REPAIR,6,6,6,1920,false,false,1152,1632
T094,C4,ENGINEERING,TRACK_REPAIR,2,4,8,1056,false,false,672,1152
T095,C5,ENGINEERING,TRACK_REPAIR,6,6,5,1344,false,false,768,1440
T096,C6,ENGINEERING,TRACK_REPAIR,6,6,8,1248,false,false,864,1536
T097,C7,ENGINEERING,TRACK_REPAIR,8,6,8,1728,false,false,960,1536
T098,C8,ENGINEERING,TRACK_REPAIR,8,6,4,1440,false,false,1056,1536
T099,C9,ENGINEERING,TRACK_REPAIR,8,4,4,1920,false,false,1152,1728
T100,C10,ENGINEERING,TRACK_REPAIR,2,7,5,1056,false,false,672,1152
T101,C1,ST,SIGNAL_TEST,4,7,5,2112,false,false,1728,2208
T102,C2,ST,SIGNAL_TEST,2,5,8,2400,false,false,1824,2304
T103,C3,ST,SIGNAL_TEST,12,7,8,2112,false,false,1344,1824
T104,C4,ST,SIGNAL_TEST,12,7,6,2016,false,false,1440,2112
T105,C5,ST,SIGNAL_TEST,2,5,4,2304,false,false,1536,2208
T106,C6,ST,SIGNAL_TEST,6,4,6,2208,false,false,1632,2208
T107,C7,ST,SIGNAL_TEST,6,7,8,2496,false,false,1728,2304
T108,C8,ST,SIGNAL_TEST,6,5,6,2592,false,false,1824,2304
T109,C9,ST,SIGNAL_TEST,2,7,5,1920,false,false,1344,1824
T110,C10,ST,SIGNAL_TEST,2,6,4,2208,false,false,1440,1920
T111,C1,TRD,OHE_INSPECTION,6,4,4,2688,false,false,2496,2688
T112,C2,TRD,OHE_INSPECTION,6,6,6,2688,false,false,2016,2592
T113,C3,TRD,OHE_INSPECTION,12,6,6,2496,false,false,2112,2688
T114,C4,TRD,OHE_INSPECTION,6,6,7,2400,false,false,2208,2688
T115,C5,TRD,OHE_INSPECTION,12,7,5,2688,false,false,2304,2688
T116,C6,TRD,OHE_INSPECTION,4,7,4,2688,false,false,2400,2688
T117,C7,TRD,OHE_INSPECTION,6,6,4,2688,false,false,2496,2688
T118,C8,TRD,OHE_INSPECTION,6,4,6,2592,false,false,2016,2592
T119,C9,TRD,OHE_INSPECTION,8,6,6,2688,false,false,2112,2592
T120,C10,TRD,OHE_INSPECTION,12,5,5,2400,false,false,2208,2688
