corridor_id,start_slot,end_slot
C2,1480,1508
C2,1522,1536
C2,1536,1560
C2,1576,1604
C2,1618,1632
C2,1632,1656
C2,1672,1700
C2,1714,1728
C2,1728,1752
C2,1768,1796
C2,1810,1824
C2,1824,1848
C2,1864,1892
C2,1906,1920
C2,1920,1944
C2,1960,1988
C2,2002,2016
C2,2016,2040
C2,2056,2084
C2,2098,2112
C2,2112,2136
C2,2152,2180
C2,2194,2208
C2,2208,2232
C2,2248,2276
C2,2290,2304
C2,2304,2328
C2,2344,2372
C2,2386,2400
C2,2400,2424
C2,2440,2468
C2,2482,2496
C2,2496,2520
C2,2536,2564
C2,2578,2592
C2,2592,2616
C2,2632,2660
C2,2674,2688
C3,0,24
C3,40,68
C3,82,96
C3,96,120
C3,136,164
C3,178,192
C3,192,216
C3,232,260
C3,274,288
C3,288,312
C3,328,356
C3,370,384
C3,384,408
C3,424,452
C3,466,480
C3,480,504
C3,520,548
C3,562,576
C3,576,600
C3,616,644
C3,658,672
C3,672,696
C3,712,740
C3,754,768
C3,768,792
C3,808,836
C3,850,864
C3,864,888
C3,904,932
C3,946,960
C3,960,984
C3,1000,1028
C3,1042,1056
C3,1056,1080
C3,1096,1124
C3,1138,1152
C3,1152,1176
C3,1192,1220
C3,1234,1248
C3,1248,1272
C3,1288,1316
C3,1330,1344
C3,1344,1368
C3,1384,1412
C3,1426,1440
C3,1440,1464
C3,1480,1508
C3,1522,1536
C3,1536,1560
C3,1576,1604
C3,1618,1632
C3,1632,1656
C3,1672,1700
C3,1714,1728
C3,1728,1752
C3,1768,1796
C3,1810,1824
C3,1824,1848
C3,1864,1892
C3,1906,1920
C3,1920,1944
C3,1960,1988
C3,2002,2016
C3,2016,2040
C3,2056,2084
C3,2098,2112
C3,2112,2136
C3,2152,2180
C3,2194,2208
C3,2208,2232
C3,2248,2276
C3,2290,2304
C3,2304,2328
C3,2344,2372
C3,2386,2400
C3,2400,2424
C3,2440,2468
C3,2482,2496
C3,2496,2520
C3,2536,2564
C3,2578,2592
C3,2592,2616
C3,2632,2660
C3,2674,2688
C4,0,24
C4,40,68
C4,82,96
C4,96,120
C4,136,164
C4,178,192
C4,192,216
C4,232,260
C4,274,288
C4,288,312
C4,328,356
C4,370,384
C4,384,408
C4,424,452
C4,466,480
C4,480,504
C4,520,548
C4,562,576
C4,576,600
C4,616,644
C4,658,672
C4,672,696
C4,712,740
C4,754,768
C4,768,792
C4,808,836
C4,850,864
C4,864,888
C4,904,932
C4,946,960
C4,960,984
C4,1000,1028
C4,1042,1056
C4,1056,1080
C4,1096,1124
C4,1138,1152
C4,1152,1176
C4,1192,1220
C4,1234,1248
C4,1248,1272
C4,1288,1316
C4,1330,1344
C4,1344,1368
C4,1384,1412
C4,1426,1440
C4,1440,1464
C4,1480,1508
C4,1522,1536
C4,1536,1560
C4,1576,1604
C4,1618,1632
C4,1632,1656
C4,1672,1700
C4,1714,1728
C4,1728,1752
C4,1768,1796
C4,1810,1824
C4,1824,1848
C4,1864,1892
C4,1906,1920
C4,1920,1944
C4,1960,1988
C4,2002,2016
C4,2016,2040
C4,2056,2084
C4,2098,2112
C4,2112,2136
C4,2152,2180
C4,2194,2208
C4,2208,2232
C4,2248,2276
C4,2290,2304
C4,2304,2328
C4,2344,2372
C4,2386,2400
C4,2400,2424
C4,2440,2468
C4,2482,2496
C4,2496,2520
C4,2536,2564
C4,2578,2592
C4,2592,2616
C4,2632,2660
C4,2674,2688
C5,0,24
C5,40,68
C5,82,96
C5,96,120
C5,136,164
C5,178,192
C5,192,216
C5,232,260
C5,274,288
C5,288,312
C5,328,356
C5,370,384
C5,384,408
C5,424,452
C5,466,480
C5,480,504
C5,520,548
C5,562,576
C5,576,600
C5,616,644
C5,658,672
C5,672,696
C5,712,740
C5,754,768
C5,768,792
C5,808,836
C5,850,864
C5,864,888
C5,904,932
C5,946,960
C5,960,984
C5,1000,1028
C5,1042,1056
C5,1056,1080
C5,1096,1124
C5,1138,1152
C5,1152,1176
C5,1192,1220
C5,1234,1248
C5,1248,1272
C5,1288,1316
C5,1330,1344
C5,1344,1368
C5,1384,1412
C5,1426,1440
C5,1440,1464
C5,1480,1508
C5,1522,1536
C5,1536,1560
C5,1576,1604
C5,1618,1632
C5,1632,1656
C5,1672,1700
C5,1714,1728
C5,1728,1752
C5,1768,1796
C5,1810,1824
C5,1824,1848
C5,1864,1892
C5,1906,1920
C5,1920,1944
C5,1960,1988
C5,2002,2016
C5,2016,2040
C5,2056,2084
C5,2098,2112
C5,2112,2136
C5,2152,2180
C5,2194,2208
C5,2208,2232
C5,2248,2276
C5,2290,2304
C5,2304,2328
C5,2344,2372
C5,2386,2400
C5,2400,2424
C5,2440,2468
C5,2482,2496
C5,2496,2520
C5,2536,2564
C5,2578,2592
C5,2592,2616
C5,2632,2660
C5,2674,2688
C6,0,24
C6,40,68
C6,82,96
C6,96,120
C6,136,164
C6,178,192
C6,192,216
C6,232,260
C6,274,288
C6,288,312
C6,328,356
C6,370,384
C6,384,408
C6,424,452
C6,466,480
C6,480,504
C6,520,548
C6,562,576
C6,576,600
C6,616,644
C6,658,672
C6,672,696
C6,712,740
C6,754,768
C6,768,792
C6,808,836
C6,850,864
C6,864,888
C6,904,932
C6,946,960
C6,960,984
C6,1000,1028
C6,1042,1056
C6,1056,1080
C6,1096,1124
C6,1138,1152
C6,1152,1176
C6,1192,1220
C6,1234,1248
C6,1248,1272
C6,1288,1316
C6,1330,1344
C6,1344,1368
C6,1384,1412
C6,1426,1440
C6,1440,1464
C6,1480,1508
C6,1522,1536
C6,1536,1560
C6,1576,1604
C6,1618,1632
C6,1632,1656
C6,1672,1700
C6,1714,1728
C6,1728,1752
C6,1768,1796
C6,1810,1824
C6,1824,1848
C6,1864,1892
C6,1906,1920
C6,1920,1944
C6,1960,1988
C6,2002,2016
C6,2016,2040
C6,2056,2084
C6,2098,2112
C6,2112,2136
C6,2152,2180
C6,2194,2208
C6,2208,2232
C6,2248,2276
C6,2290,2304
C6,2304,2328
C6,2344,2372
C6,2386,2400
C6,2400,2424
C6,2440,2468
C6,2482,2496
C6,2496,2520
C6,2536,2564
C6,2578,2592
C6,2592,2616
C6,2632,2660
C6,2674,2688
C7,0,24
C7,40,68
C7,82,96
C7,96,120
C7,136,164
C7,178,192
C7,192,216
C7,232,260
C7,274,288
C7,288,312
C7,328,356
C7,370,384
C7,384,408
C7,424,452
C7,466,480
C7,480,504
C7,520,548
C7,562,576
C7,576,600
C7,616,644
C7,658,672
C7,672,696
C7,712,740
C7,754,768
C7,768,792
C7,808,836
C7,850,864
C7,864,888
C7,904,932
C7,946,960
C7,960,984
C7,1000,1028
C7,1042,1056
C7,1056,1080
C7,1096,1124
C7,1138,1152
C7,1152,1176
C7,1192,1220
C7,1234,1248
C7,1248,1272
C7,1288,1316
C7,1330,1344
C7,1344,1368
C7,1384,1412
C7,1426,1440
C7,1440,1464
C7,1480,1508
C7,1522,1536
C7,1536,1560
C7,1576,1604
C7,1618,1632
C7,1632,1656
C7,1672,1700
C7,1714,1728
C7,1728,1752
C7,1768,1796
C7,1810,1824
C7,1824,1848
C7,1864,1892
C7,1906,1920
C7,1920,1944
C7,1960,1988
C7,2002,2016
C7,2016,2040
C7,2056,2084
C7,2098,2112
C7,2112,2136
C7,2152,2180
C7,2194,2208
C7,2208,2232
C7,2248,2276
C7,2290,2304
C7,2304,2328
C7,2344,2372
C7,2386,2400
C7,2400,2424
C7,2440,2468
C7,2482,2496
C7,2496,2520
C7,2536,2564
C7,2578,2592
C7,2592,2616
C7,2632,2660
C7,2674,2688
C8,0,24
C8,40,68
C8,82,96
C8,96,120
C8,136,164
C8,178,192
C8,192,216
C8,232,260
C8,274,288
C8,288,312
C8,328,356
C8,370,384
C8,384,408
C8,424,452
C8,466,480
C8,480,504
C8,520,548
C8,562,576
C8,576,600
C8,616,644
C8,658,672
C8,672,696
C8,712,740
C8,754,768
C8,768,792
C8,808,836
C8,850,864
C8,864,888
C8,904,932
C8,946,960
C8,960,984
C8,1000,1028
C8,1042,1056
C8,1056,1080
C8,1096,1124
C8,1138,1152
C8,1152,1176
C8,1192,1220
C8,1234,1248
C8,1248,1272
C8,1288,1316
C8,1330,1344
C8,1344,1368
C8,1384,1412
C8,1426,1440
C8,1440,1464
C8,1480,1508
C8,1522,1536
C8,1536,1560
C8,1576,1604
C8,1618,1632
C8,1632,1656
C8,1672,1700
C8,1714,1728
C8,1728,1752
C8,1768,1796
C8,1810,1824
C8,1824,1848
C8,1864,1892
C8,1906,1920
C8,1920,1944
C8,1960,1988
C8,2002,2016
C8,2016,2040
C8,2056,2084
C8,2098,2112
C8,2112,2136
C8,2152,2180
C8,2194,2208
C8,2208,2232
C8,2248,2276
C8,2290,2304
C8,2304,2328
C8,2344,2372
C8,2386,2400
C8,2400,2424
C8,2440,2468
C8,2482,2496
C8,2496,2520
C8,2536,2564
C8,2578,2592
C8,2592,2616
C8,2632,2660
C8,2674,2688
C9,0,24
C9,40,68
C9,82,96
C9,96,120
C9,136,164
C9,178,192
C9,192,216
C9,232,260
C9,274,288
C9,288,312
C9,328,356
C9,370,384
C9,384,408
C9,424,452
C9,466,480
C9,480,504
C9,520,548
C9,562,576
C9,576,600
C9,616,644
C9,658,672
C9,672,696
C9,712,740
C9,754,768
C9,768,792
C9,808,836
C9,850,864
C9,864,888
C9,904,932
C9,946,960
C9,960,984
C9,1000,1028
C9,1042,1056
C9,1056,1080
C9,1096,1124
C9,1138,1152
C9,1152,1176
C9,1192,1220
C9,1234,1248
C9,1248,1272
C9,1288,1316
C9,1330,1344
C9,1344,1368
C9,1384,1412
C9,1426,1440
C9,1440,1464
C9,1480,1508
C9,1522,1536
C9,1536,1560
C9,1576,1604
C9,1618,1632
C9,1632,1656
C9,1672,1700
C9,1714,1728
C9,1728,1752
C9,1768,1796
C9,1810,1824
C9,1824,1848
C9,1864,1892
C9,1906,1920
C9,1920,1944
C9,1960,1988
C9,2002,2016
C9,2016,2040
C9,2056,2084
C9,2098,2112
C9,2112,2136
C9,2152,2180
C9,2194,2208
C9,2208,2232
C9,2248,2276
C9,2290,2304
C9,2304,2328
C9,2344,2372
C9,2386,2400
C9,2400,2424
C9,2440,2468
C9,2482,2496
C9,2496,2520
C9,2536,2564
C9,2578,2592
C9,2592,2616
C9,2632,2660
C9,2674,2688
C10,0,24
C10,40,68
C10,82,96
C10,96,120
C10,136,164
C10,178,192
C10,192,216
C10,232,260
C10,274,288
C10,288,312
C10,328,356
C10,370,384
C10,384,408
C10,424,452
C10,466,480
C10,480,504
C10,520,548
C10,562,576
C10,576,600
C10,616,644
C10,658,672
C10,672,696
C10,712,740
C10,754,768
C10,768,792
C10,808,836
C10,850,864
C10,864,888
C10,904,932
C10,946,960
C10,960,984
C10,1000,1028
C10,1042,1056
C10,1056,1080
C10,1096,1124
C10,1138,1152
C10,1152,1176
C10,1192,1220
C10,1234,1248
C10,1248,1272
C10,1288,1316
C10,1330,1344
C10,1344,1368
C10,1384,1412
C10,1426,1440
C10,1440,1464
C10,1480,1508
C10,1522,1536
C10,1536,1560
C10,1576,1604
C10,1618,1632
C10,1632,1656
C10,1672,1700
C10,1714,1728
C10,1728,1752
C10,1768,1796
C10,1810,1824
C10,1824,1848
C10,1864,1892
C10,1906,1920
C10,1920,1944
C10,1960,1988
C10,2002,2016
C10,2016,2040
C10,2056,2084
C10,2098,2112
C10,2112,2136
C10,2152,2180
C10,2194,2208
C10,2208,2232
C10,2248,2276
C10,2290,2304
C10,2304,2328
C10,2344,2372
C10,2386,2400
C10,2400,2424
C10,2440,2468
C10,2482,2496
C10,2496,2520
C10,2536,2564
C10,2578,2592
C10,2592,2616
C10,2632,2660
C10,2674,2688
