id,corridor_id,department,task_type,duration_slots,severity,criticality,due_slot,mandatory,requires_power_block,earliest_slot,latest_end_slot
T046,C6,ENGINEERING,TRACK_REPAIR,6,5,6,672,false,false,288,768
T047,C7,ENGINEERING,TRACK_REPAIR,12,5,5,768,false,false,384,960
T048,C8,ENGINEERING,TRACK_REPAIR,6,4,5,864,false,false,480,1056
T049,C9,ENGINEERING,TRACK_REPAIR,4,4,8,192,false,false,0,480
T050,C10,ENGINEERING,TRACK_REPAIR,12,5,5,480,false,false,96,768
T051,C1,ST,TRACK_CIRCUIT_CALIBRATION,2,4,4,1344,false,false,1152,1824
T052,C2,ST,TRACK_CIRCUIT_CALIBRATION,12,4,8,864,false,false,672,1248
T053,C3,ST,TRACK_CIRCUIT_CALIBRATION,2,6,6,1536,false,false,768,1440
T054,C4,ST,TRACK_CIRCUIT_CALIBRATION,6,4,4,1440,false,false,864,1440
T055,C5,ST,TRACK_CIRCUIT_CALIBRATION,8,7,4,1152,false,false,960,1440
T056,C6,ST,TRACK_CIRCUIT_CALIBRATION,8,7,4,1440,false,false,1056,1632
T057,C7,ST,TRACK_CIRCUIT_CALIBRATION,8,6,5,1536,false,false,1152,1632
T058,C8,ST,TRACK_CIRCUIT_CALIBRATION,12,7,8,1440,false,false,672,1152
T059,C9,ST,TRACK_CIRCUIT_CALIBRATION,2,5,7,1152,false,false,768,1248
T060,C10,ST,TRACK_CIRCUIT_CALIBRATION,2,6,7,1056,false,false,864,1440
T061,C1,TRD,OHE_POWER_WORK,8,4,4,2112,false,true,1344,1920
T062,C2,TRD,SUBSTATION_TEST,6,7,8,1824,false,true,1440,1920
T063,C3,TRD,OHE_POWER_WORK,2,4,8,2304,false,true,1536,2208
T064,C4,TRD,SUBSTATION_TEST,6,7,4,2016,false,true,1632,2208
T065,C5,TRD,OHE_POWER_WORK,6,7,4,1920,false,true,1728,2304
T066,C6,TRD,SUBSTATION_TEST,6,5,6,2208,false,true,1824,2496
T067,C7,TRD,OHE_POWER_WORK,12,4,4,1536,false,true,1344,1920
T068,C8,TRD,OHE_INSPECTION,2,7,4,1632,false,false,1440,2016
T069,C9,TRD,OHE_INSPECTION,2,7,4,2304,false,false,1536,2112
T070,C10,TRD,OHE_INSPECTION,4,4,8,2016,false,false,1632,2112
T071,C1,ST,TRACK_CIRCUIT_CALIBRATION,12,4,5,2496,false,false,2112,2592
T072,C2,ST,TRACK_CIRCUIT_CALIBRATION,12,7,8,2400,false,false,2208,2688
T073,C3,ST,TRACK_CIRCUIT_CALIBRATION,12,6,5,2688,false,false,2304,2688
T074,C4,ST,TRACK_CIRCUIT_CALIBRATION,6,7,4,2688,false,false,2400,2688
T075,C5,ST,TRACK_CIRCUIT_CALIBRATION,4,7,8,2688,false,false,2496,2688
T076,C6,ST,TRACK_CIRCUIT_CALIBRATION,12,5,7,2592,false,false,2016,2688
T077,C7,ST,TRACK_CIRCUIT_CALIBRATION,2,7,5,2688,false,false,2112,2688
T078,C8,ST,TRACK_CIRCUIT_CALIBRATION,8,7,7,2688,false,false,2208,2688
T079,C9,ST,TRACK_CIRCUIT_CALIBRATION,4,5,8,2496,false,false,2304,2688
T080,C10,ST,TRACK_CIRCUIT_CALIBRATION,2,7,4,2688,false,false,2400,2688
T081,C1,TRD,OHE_INSPECTION,4,5,6,960,false,false,192,672
T082,C2,TRD,OHE_INSPECTION,8,6,5,672,false,false,288,768
T083,C3,TRD,OHE_INSPECTION,2,4,5,768,false,false,384,864
T084,C4,TRD,OHE_INSPECTION,4,4,6,864,false,false,480,960
T085,C5,TRD,OHE_INSPECTION,12,5,6,576,false,false,0,480
T086,C6,TRD,OHE_INSPECTION,4,7,6,480,false,false,96,576
T087,C7,TRD,OHE_INSPECTION,2,4,6,768,false,false,192,864
T088,C8,TRD,OHE_INSPECTION,12,5,7,480,false,false,288,960
T089,C9,TRD,OHE_INSPECTION,8,5,6,768,false,false,384,864
T090,C10,TRD,OHE_INSPECTION,6,5,6,672,false,false,480,960
T091,C1,ENGINEERING,RAIL_GRINDING,2,4,7,1344,false,false,960,1536
T092,C2,ENGINEERING,RAIL_GRINDING,8,6,8,1632,false,false,1056,1536
T093,C3,ENGINEERING,RAIL_GRINDING,12,7,5,1728,false,false,1152,1728
T094,C4,ENGINEERING,RAIL_GRINDING,4,6,7,1248,false,false,672,1152
T095,C5,ENGINEERING,RAIL_GRINDING,4,5,8,1536,false,false,768,1344
T096,C6,ENGINEERING,RAIL_GRINDING,6,4,4,1632,false,false,864,1440
T097,C7,ENGINEERING,RAIL_GRINDING,4,7,8,1344,false,false,960,1440
T098,C8,ENGINEERING,RAIL_GRINDING,12,7,7,1632,false,false,1056,1632
T099,C9,ENGINEERING,RAIL_GRINDING,4,4,7,1536,false,false,1152,1824
T100,C10,ENGINEERING,RAIL_GRINDING,12,7,6,864,false,false,672,1152
T101,C1,ST,POINT_MACHINE_SERVICE,6,7,7,2112,false,false,1728,2208
T102,C2,ST,POINT_MACHINE_SERVICE,4,5,5,2400,false,false,1824,2496
T103,C3,ST,POINT_MACHINE_SERVICE,2,7,4,2112,false,false,1344,1920
T104,C4,ST,POINT_MACHINE_SERVICE,2,7,4,1632,false,false,1440,2016
T105,C5,ST,POINT_MACHINE_SERVICE,12,7,4,1920,false,false,1536,2016
T106,C6,ST,POINT_MACHINE_SERVICE,8,5,8,2016,false,false,1632,2208
T107,C7,ST,POINT_MACHINE_SERVICE,8,5,5,2496,false,false,1728,2208
T108,C8,ST,POINT_MACHINE_SERVICE,12,5,8,2016,false,false,1824,2496
T109,C9,ST,POINT_MACHINE_SERVICE,12,7,7,1728,false,false,1344,1920
T110,C10,ST,POINT_MACHINE_SERVICE,6,5,7,2016,false,false,1440,2016
T111,C1,TRD,OHE_INSPECTION,6,4,7,2688,false,false,2496,2688
T112,C2,TRD,OHE_INSPECTION,4,6,8,2592,false,false,2016,2688
T113,C3,TRD,OHE_INSPECTION,12,5,5,2688,false,false,2112,2592
T114,C4,TRD,OHE_INSPECTION,8,7,5,2688,false,false,2208,2688
T115,C5,TRD,OHE_INSPECTION,6,4,5,2688,false,false,2304,2688
T116,C6,TRD,OHE_INSPECTION,8,4,5,2592,false,false,2400,2688
T117,C7,TRD,OHE_INSPECTION,2,7,7,2688,false,false,2496,2688
T118,C8,TRD,OHE_INSPECTION,2,7,6,2688,false,false,2016,2496
T119,C9,TRD,OHE_INSPECTION,8,6,6,2304,false,false,2112,2688
T120,C10,TRD,OHE_INSPECTION,8,4,5,2592,false,false,2208,2688
T121,C1,ST,POINT_MACHINE_SERVICE,12,6,6,192,false,false,0,576
T122,C2,ST,POINT_MACHINE_SERVICE,6,5,4,288,false,false,96,576
T123,C3,ST,POINT_MACHINE_SERVICE,2,6,8,768,false,false,192,864
T124,C4,ST,POINT_MACHINE_SERVICE,2,7,8,1056,false,false,288,768
